pressure in bar,inlet temperature in K,temperature in K,residence time in s,portion of product in feed,conversion CO2
2.53441,593.276,614.0228,0.23489,0.06959,0.73476
6.88231,713.044,721.003,0.38662,0.01428,0.87664
9.33625,506.772,521.9921,0.39437,0.06943,0.36335
9.58537,621.532,661.75245,0.08659,0.16285,0.7469
3.67795,767.172,788.95426,0.12792,0.44558,0.46987
6.76279,743.124,752.26551,0.33305,0.33414,0.73752
4.28689,624.412,634.33816,0.30198,0.21578,0.81243
6.79357,435.308,435.77326,0.21268,0.03304,0.00377
1.41607,424.844,424.99376,0.29413,0.14867,0.00199
5.20597,668.836,677.03465,0.29388,0.31265,0.81948
9.37243,526.268,548.87267,0.08559,0.45246,0.25302
5.60935,558.172,578.86289,0.1711,0.35102,0.55161
8.92927,498.292,514.47656,0.14846,0.11826,0.12579
7.98139,622.796,632.04508,0.34096,0.10576,0.84566
9.53443,672.268,692.85375,0.15834,0.0029,0.85848
8.77897,792.068,814.67912,0.17875,0.13557,0.75226
7.53877,462.292,463.76132,0.24604,0.492,0.03467
5.77801,549.812,560.07041,0.39735,0.27986,0.64101
5.50405,631.068,644.24371,0.22817,0.2179,0.80503
8.16553,456.068,457.51622,0.23299,0.19322,0.01709
5.93767,708.188,734.28591,0.12423,0.0989,0.82061
2.15119,769.012,804.73439,0.12016,0.2285,0.55098
5.98951,652.012,657.03718,0.37499,0.47309,0.79714
1.33939,409.556,409.61651,0.30532,0.07064,0.00073
9.77977,724.876,732.89197,0.36978,0.00848,0.88285
3.00583,524.284,539.60993,0.33045,0.17516,0.38839
7.08823,468.572,470.98084,0.19704,0.30446,0.03063
4.55257,599.044,622.8578,0.19601,0.03827,0.76434
5.21353,442.236,442.70915,0.07713,0.3147,0.00272
5.44501,600.428,659.40996,0.04787,0.31342,0.60771
4.62619,512.148,524.52906,0.38704,0.18042,0.34112
9.69085,488.684,493.4354,0.3841,0.457,0.18461
3.47545,444.62,445.30391,0.35811,0.02512,0.00888
2.12563,553.812,589.4628,0.17587,0.04378,0.55342
8.87527,676.252,684.162,0.26962,0.36114,0.82312
8.95087,669.972,680.39599,0.18633,0.4732,0.77116
2.13733,744.476,771.49647,0.16416,0.1811,0.66074
8.81029,445.652,446.31264,0.08304,0.33514,0.00419
